LEGAL_ENTITY_NAME,PREMISES_NAME,DHB,STREET_ADDRESS_OTHER,STREET_ADDRESS,STREET_ADDRESS_SUBURB_RD,STREET_ADDRESS_TOWN_CITY,STREET_ADDRESS_POST_CODE
Bay Pharmacies 2015 Limited,Unichem Cherrywood Pharmacy,Bay of Plenty DHB,,52 - 54 Cherrywood Drive,Otumoetai,TAURANGA,3110
Bay Pharmacies 2015 Limited,Unichem Otumoetai Pharmacy,Bay of Plenty DHB,,506 Otumoetai Road,Otumoetai,TAURANGA,3110
Bay Pharmacies 2015 Limited,Unichem Racecourse Pharmacy,Bay of Plenty DHB,,1352 Cameron Road,Gate Pa,Tauranga,3112
Bay View Village Pharmacy Limited,Bay View Village Pharmacy,Hawkes Bay DHB,,44A Petane Road,Bay View,Napier,4104
Bay of Islands Pharmacies Limited,Unichem Kerikeri Medical Centre Pharmacy,Northland DHB,,"Unit 8, 4 Homestead Road",,Kerikeri,0230
Bay of Islands Pharmacies Limited,Unichem Kerikeri Pharmacy,Northland DHB,,64 Kerikeri Road,,Kerikeri,0230
Bay of Islands Pharmacies Limited,Unichem Kerimed Pharmacy,Northland DHB,,2 Ranui Avenue,,Kerikeri,0230
Bay of Plenty District Health Board,Tauranga Hospital Pharmacy,Bay of Plenty DHB,Tauranga Hospital,829 Cameron Road,Tauranga South,Tauranga,3112
Bay of Plenty District Health Board,Whakatane Hospital Pharmacy,Bay of Plenty DHB,Whakatane Hospital,Corner of Garaway & Stewart Streets,,Whakatane,3120
Bayfair Pharmacy (2010) Limited,Life Pharmacy Bayfair,Bay of Plenty DHB,"Shop T204, Bayfair Shopping Complex",corner of Maunganui & Girven Roads,Bayfair,MT MAUNGANUI,3116
Baylis The Chemist Limited,Baylis The Chemist,Southern DHB,,267 King Edward Street,South Dunedin,Dunedin,9012
Bays Health Chemist Limited,Bays Health Pharmacy,Waitemata DHB,,13-15 Bute Road,Browns Bay,Auckland,0630
Bayview Pharmacy 2018 Limited,Bayview Pharmacy 2018 Limited,Southern DHB,"Shop 2, The Warehouse",64 Hillside Road,South Dunedin,Dunedin,9012
Beachlands Pharmacy Limited,Unichem Beachlands Pharmacy,Counties Manukau DHB,,43 Wakelin Road,Beachlands,Auckland,2018
Bealey Ave Pharmacy Limited,Unichem Bealey Ave Pharmacy,Canterbury DHB,Unit 3,212 Bealey Avenue,Christchurch Central,Christchurch,8013
Bealey Pharmacy (1986) Limited,Qualmed (Quality Medication Management),Canterbury DHB,,14 Pope Street,Addington,CHRISTCHURCH,8011
Beauty & Vitality Limited,Life Pharmacy Milford,Waitemata DHB,Shop M106 Milford Shopping Centre,24 Milford Road,Milford,Auckland,0620
Bell's Pharmacy Lyttelton Limited,Lyttelton Pharmacy & Post Centre,Canterbury DHB,,19 London Street,,LYTTELTON,8082
Belmont Pharmacy Limited,Belmont Pharmacy,Waitemata DHB,,143 Lake Road,Belmont,Auckland,0622
Bentley Ave Pharmacy Limited,Bentley Ave Pharmacy Limited,Waitemata DHB,Shop 7,111 Bentley Avenue,Glenfield,Auckland,0629
Best Care Pharmacy Limited,Best Care Pharmacy,Counties Manukau DHB,,175 Pakuranga Road,Pakuranga,Auckland,2010
Birkdale Pharmacy 1998 Limited,Birkdale Pharmacy 1998 Limited,Waitemata DHB,,164 Birkdale Road,Birkdale,AUCKLAND,0626
Birkenhead Pharmacy (2011) Limited,Life Pharmacy Birkenhead,Waitemata DHB,,32 Mokoia Road,Birkenhead,Auckland,0626
Bishop Centre Pharmacy Limited,Bishop Centre Pharmacy,Counties Manukau DHB,,8Q Bishop Lenihan Place,East Tamaki,AUCKLAND,2013
Bishopdale Pharmacy Limited,Unichem Bishopdale Pharmacy,Canterbury DHB,,37 and 39 Bishopdale Court,Bishopdale,CHRISTCHURCH,8053
Blockhouse Bay Pharmacy 2008 Limited,Blockhouse Bay Pharmacy,Auckland DHB,,526 - 530 Blockhouse Bay Road,Blockhouse Bay,Auckland,0600
Bongard's Pharmacy Limited,Bongards Pharmacy Limited,Bay of Plenty DHB,,1303 Cameron Road,Gate Pa,Tauranga,3112
Botanical Road Pharmacy Limited,Botanical Road Pharmacy Limited,MidCentral DHB,,123 Botanical Road,Takaro,Palmerston North,4412
Botany Downs Pharmacy Limited,Unichem Mangere Medical Pharmacy,Counties Manukau DHB,Ground Floor,215 Massey Road,Mangere East,Auckland,2024
Botany Pharmacy Limited,Unichem Botany Pharmacy,Counties Manukau DHB,,4 Crescent Lane,East Tamaki,AUCKLAND,2013
Botany Road Pharmacy Limited,Botany Road Pharmacy Limited,Counties Manukau DHB,Unit M,301 Botany Road,Golflands,AUCKLAND,2013
Botany Town Centre Pharmacy Limited,Life Pharmacy Botany,Counties Manukau DHB,Shop 17,Town Centre Drive,Botany,AUCKLAND,2013
Bowman Pharmacy Services Limited,Paraparaumu Beach Pharmacy,Capital and Coast DHB,Shop 1,17 Seaview Road,Paraparaumu Beach,Paraparaumu,5032
Brady Pharmacy Limited,Tamatea Pharmacy,Hawkes Bay DHB,,"Shop 7 & 8, 7 Leicester Avenue",Tamatea,Napier,4112
Bramwells Pharmacy Limited,Unichem Bramwells Pharmacy,Tairawhiti DHB,,232 Gladstone Road,,GISBORNE,4010
Brighton Village Pharmacy Limited,Unichem Brighton Village Pharmacy,Canterbury DHB,,183 Shaw Avenue,New Brighton,Christchurch,8083
Brookfield Pharmacy Limited,Unichem Brookfield Pharmacy,Bay of Plenty DHB,"Shop 3 and 4, Brookfield Shopping Centre",85 Bellevue Road,Brookfield,Tauranga,3110
Browns Bay Pharmacy (2018) Limited,Unichem Browns Bay Pharmacy,Waitemata DHB,,66 Clyde Road,Browns Bay,Auckland,0630
Browns Road Community Pharmacy Limited,Unichem Browns Road Pharmacy,Counties Manukau DHB,Unit 7,235 Browns Road,Manukau,AUCKLAND,2102
Bruce Stimpson Pharmacy Limited,Aramoho Pharmacy,Whanganui DHB,,142 Somme Parade,Aramoho,WHANGANUI,4500
Buchanan's Pharmacy Limited,Unichem Buchanan's Pharmacy,Northland DHB,"Shops 1-5, Paramount Plaza",81 Paramount Parade,Tikipunga,WHANGAREI,0112
Buchanan's Pharmacy Limited,Unichem Buchanans Kiripaka Pharmacy,Northland DHB,,157 Kiripaka Road,Tikipunga,Whangarei,0110
Buchanan's Pharmacy Limited,Unichem Buchanans Mansfield Pharmacy,Northland DHB,,7 Mansfield Terrace,Regent,Whangarei,0112
Bunny Street Pharmacy Limited,City Pharmacies Bunny Street,Capital and Coast DHB,,9 Bunny Street,Pipitea,WELLINGTON,6011
Bureta Pharmacy Limited,Bureta Pharmacy Limited,Bay of Plenty DHB,,78 Bureta Road,Otumoetai,TAURANGA,3110
Burns Pharmacy (1991) Limited,Burns Pharmacy (1991) Limited,Hutt Valley DHB,,292 Jackson Street,Petone,LOWER HUTT,5012
Burwood Hospital Pharmacy Limited,Unichem Burwood Hospital Pharmacy,Canterbury DHB,Shop G544,"Main Foyer, 300 Burwood Road",Burwood,Christchurch,8083
Burwood Pharmacy (1998) Limited,Burwood Pharmacy,Canterbury DHB,,11 Parnwell Street,Burwood,Christchurch,8083
Bush Road Pharmacy Limited,David's Pharmacy,Northland DHB,Unit D,6 Three Mile Bush Road,Kamo,WHANGAREI,0185
CCGI Limited,Medical Centre Pharmacy,Nelson Marlborough DHB,,114 High Street,,PICTON,7220
CCGI Limited,Picton Health Care Pharmacy,Nelson Marlborough DHB,,6 High Street,,PICTON,7220
CHB Apothecary Limited,Unichem Waipukurau Pharmacy,Hawkes Bay DHB,Ground Floor,71-75 Ruataniwha Street,,Waipukurau,4200
Calm Future Limited,Eltham Pharmacy,Taranaki DHB,,130 High Street,,Eltham,4322
Calm Future Limited,Stratford Pharmacy,Taranaki DHB,,235 Broadway,,STRATFORD,4332
Cameron Road Dispensary Limited,Pharmacy On Cameron,Bay of Plenty DHB,Shop 3,850 Cameron Road,Tauranga South,Tauranga,3112
Campbell Pharmacy 2015 Limited,Doubtless Bay Pharmacy,Northland DHB,"Shop 4, Coopers Beach Shopping Centre",137C State Highway 10,,Coopers Beach,0420
Cannons Creek Medical Centre Pharmacy Limited,Cannons Creek Medical Centre Pharmacy,Capital and Coast DHB,,221 Bedford Street,Cannons Creek,Porirua,5024
Canterbury District Health Board,Ashburton Hospital Pharmacy,Canterbury DHB,,28 Elizabeth Street,Allenton,Ashburton,7700
Canterbury District Health Board,Burwood Hospital Pharmacy,Canterbury DHB,,255 Mairehau Road,Burwood,Christchurch,8083
Canterbury District Health Board,Christchurch Hospital Pharmacy,Canterbury DHB,,2 Riccarton Avenue,Christchurch Central,Christchurch,8011
Canterbury District Health Board,Hillmorton Hospital Pharmacy,Canterbury DHB,"Hillmorton Hospital, Avon Administration Block (Building 6)",Sylvan Street and Annex Road South,Hillmorton,CHRISTCHURCH,8014
Canterbury Pharmacy Management Limited,North Avon Pharmacy,Canterbury DHB,,"Shop 2, 76 North Avon Road",Richmond,CHRISTCHURCH,8013
Capital and Coast District Health Board,Wellington Hospital Pharmacy,Capital and Coast DHB,Wellington Hospital,Riddiford Street,Newtown,WELLINGTON,6021
Care Chemist Pakuranga (2008) Limited,Unichem Pakuranga Pharmacy,Counties Manukau DHB,,11-13 Cortina Place,Pakuranga,Auckland,2010
Care Chemists (Mount Maunganui) Limited,Unichem Mt Dispensary,Bay of Plenty DHB,,42 Girven Road,,MOUNT MAUNGANUI,3116
Care Pharmacy Limited,Care Pharmacy,Waitemata DHB,,11 Coliseum Drive,Albany,Auckland,0632
Care Plus Pharmacy Limited,Hollings Care Plus Pharmacy,Waitemata DHB,,226 West Coast Road,Glen Eden,AUCKLAND,0602
Carole Baxter Limited,Unichem Tuakau,Waikato DHB,,51-53 George Street,,TUAKAU,2121
Casebrook Pharmacy (2010) Limited,Casebrook Pharmacy (2010) Limited,Canterbury DHB,,14 Grampian Street,Casebrook,CHRISTCHURCH,8051
Cavendish Drive Pharmacy Limited,Cavendish Drive Pharmacy,Counties Manukau DHB,Unit A,175 - 195 Cavendish Drive,Papatoetoe,AUCKLAND,2014
Caversham Pharmacy (2005) Limited,Caversham Pharmacy (2005) Limited,Southern DHB,,287 South Road,Caversham,DUNEDIN,9012
Central City Pharmacy (Wanganui) Limited,Central City Pharmacy,Whanganui DHB,,121 Victoria Avenue,,WHANGANUI,4500
Central Otago Pharmacy Limited,Alexandra Pharmacy,Southern DHB,,60 Centennial Avenue,,ALEXANDRA,9320
Central Parade & Dee St Pharmacy Limited,Central Parade & Dee St Pharmacy Limited,Bay of Plenty DHB,,"Unit 7, 536 Maunganui Road",,Mount Maunganui,3116
Central Pharmacy (2014) Limited,Central Drive-In Pharmacy,MidCentral DHB,,176 Featherston Street,Roslyn,Palmerston North,4410
Central Pharmacy 2000 Limited,Unichem Central Pharmacy Rotorua,Lakes DHB,,1181 Amohia Street,,ROTORUA,3010
Central Pharmacy Mosgiel Limited,Unichem Central Pharmacy Mosgiel,Southern DHB,,130 Gordon Road,,MOSGIEL,9024
CentralMed Pharmacy Limited,MyPharmacy CentralMed,Bay of Plenty DHB,,Corner 14th Avenue and 434 Devonport Road,,TAURANGA,3140
Centre City Pharmacy (2004) Limited,Unichem Centre City Pharmacy,Southern DHB,Shop 10,133 Great King Street,Dunedin Central,Dunedin,9016
Centre Pharmacy Limited,Unichem Campus Pharmacy,Auckland DHB,"Room 193, Building 315, Level 1, Student Commons",9 Symonds Street,Eden Terrace,AUCKLAND,1010
Centre Pharmacy Limited,Unichem Onehunga Centre Pharmacy,Auckland DHB,,73 Church Street,Onehunga,AUCKLAND,1061
Centre Pharmacy Limited,Unichem Onehunga Main Street Pharmacy,Auckland DHB,,227 Onehunga Mall,Onehunga,AUCKLAND,1061
Chapel Park Pharmacy Limited,Chapel Park Pharmacy,Counties Manukau DHB,,158 Chapel Road,Flat Bush,Auckland,2019
Charleston Pharmacy Limited,Charleston Pharmacy,Hawkes Bay DHB,,136 Hastings Street,Napier South,NAPIER,4110
Chartwell Pharmacy Limited,Chartwell Pharmacy Limited,Waitemata DHB,,31A Chartwell Avenue,Glenfield,Auckland,0629
Chartwell Square Pharmacy Limited,Life Pharmacy Chartwell,Waikato DHB,"Shop 123, Chartwell Shopping Centre",Corner Comries & Hukanui Roads,Chartwell,Hamilton,3210
Chemist Express Limited,Unichem 104 Queen St. Pharmacy,Auckland DHB,,104 Queen Street,Auckland Central,AUCKLAND,1010
Chemist Express Limited,Unichem 238 Queen St. Pharmacy,Auckland DHB,,238 Queen Street,Auckland Central,AUCKLAND,1010
Chemist Plus Limited,Chemist Plus,Auckland DHB,,435 Khyber Pass Road,Newmarket,Auckland,1023
Chemist Trading Limited,Windsor Medical Pharmacy,Waitemata DHB,Shop 2,51 Corinthian Drive,Albany,AUCKLAND,0632
Chemist Works Limited,Unichem Botany Junction Pharmacy,Counties Manukau DHB,,110 Michael Jones Drive,Flatbush,Auckland,2016
Chemistlink Limited,Bradburns Value Pharmacy,Auckland DHB,,1248 Dominion Road,Mount Roskill,Auckland,1041
Chens Consultancy Limited,Eden Park Pharmacy,Auckland DHB,,168 Sandringham Road,Sandringham,Auckland,1025
Choice Mission Company Limited,Taihape Pharmacy,Whanganui DHB,,85 Hautapu Street,,TAIHAPE,4720
Christchurch Pharmacy (2015) Limited,Life Pharmacy Merivale,Canterbury DHB,,193 Papanui Road,Merivale,Christchurch,8014
Churton Park Pharmacy Limited,Village Pharmacy Churton Park,Capital and Coast DHB,Churton Park Village,103E Westchester Drive,Churton Park,Wellington,6037
City Health Pharmacy Limited,City Health Pharmacy,MidCentral DHB,,22 Victoria Avenue,Terrace End,PALMERSTON NORTH,4410
City Medical Centre Pharmacy (2017) Limited,City Medical Centre Pharmacy,Capital and Coast DHB,,"Level 2, 190 Lambton Quay",Wellington Central,Wellington,6011
CityMed Pharmacy Limited,CityMed Pharmacy,Auckland DHB,,8 Albert Street,Auckland Central,Auckland,1010
Clark's Pharmacy Limited,Clark's Pharmacy Limited,Waikato DHB,,2 Rosemont Road,,Waihi,3610
Clendon Pharmacy Limited,Clendon Pharmacy Limited,Counties Manukau DHB,Shop C6 Clendon Town Centre,Palmers Road,Manurewa West,Auckland,2103
Clevedon Road Pharmacy Limited,Clevedon Road Pharmacy Limited,Counties Manukau DHB,,76 Clevedon Road,,Papakura,2110
Clevedon Village Pharmacy (2008) Limited,Clevedon Village Pharmacy,Counties Manukau DHB,Shop 1,9 Papakura-Clevedon Road,RD 2,Papakura,2582
Clinic Pharmacy Remuera Limited,Clinic Pharmacy Remuera,Auckland DHB,,122 Remuera Road,Remuera,Auckland,1050
Clive Cannons Limited,Clive's Chemist,Hutt Valley DHB,,20 - 21 Queen Street,Wainuiomata,LOWER HUTT,5014
Coelho's Pharmacy Limited,Unichem Drury Pharmacy,Counties Manukau DHB,Shops 6 & 7,231-233 Great South Road,Drury,Auckland,2113
Comins Pharmacy Limited,Comins Pharmacy Limited,Waikato DHB,,67 Victoria Street,,Cambridge,3434
Commodore Pharmacy (1989) Limited,Commodore Pharmacy (1989) Limited,Waitemata DHB,,47 Clyde Road,Browns Bay,AUCKLAND,0630
Community Care Pharmacy Limited,Community Care Pharmacy,Nelson Marlborough DHB,,14 Redwood Street,,BLENHEIM,7201
Community Pharmacy Limited,Wises Pharmacy,Canterbury DHB,,"Shop 4, 155 Wills Street",,Ashburton,7700
Connolly Street Pharmacy Limited,Connolly Street Pharmacy,Hutt Valley DHB,,"Shop 3, 2 Connolly Street",Hutt Central,Lower Hutt,5010
Coromandel Pharmacy 2014 Limited,Unichem Coromandel Pharmacy,Waikato DHB,,89 Kapanga Road,,COROMANDEL,3506
Counties Manukau District Health Board,Haumanu Pharmacy Middlemore,Counties Manukau DHB,"Middlemore Hospital, Ground Floor","Scott Building, 100 Hospital Road",Mangere East,Auckland,2025
Counties Manukau District Health Board,Middlemore Hospital Pharmacy,Counties Manukau DHB,"Pharmacy Department, Basement Kidz First Building, Middlemore Hospital,","100 Hospital Road,","Mangere East,",Auckland,2025
Cox's 7 Day Pharmacy Limited,Unichem Cox's 7 Day Pharmacy,Waitemata DHB,,2 Mayfair Place,Glen Innes,Auckland,1072
